#OTU ID	CZ.MB64.S64.L001.R1	CZ.MB6.S6.L001.R1	CZ.MB71.S71.L001.R1	CZ.MB132.S132.L001.R1	CZ.MB115.S115.L001.R1	CZ.MB22.S22.L001.R1	CZ.MB41.S41.L001.R1	CZ.MB43.S43.L001.R1	CZ.MB120.S120.L001.R1	CZ.MB96.S96.L001.R1	CZ.MB128.S128.L001.R1	CZ.MB54.S54.L001.R1	CZ.MB107.S107.L001.R1	CZ.MB57.S57.L001.R1	CZ.MB29.S29.L001.R1	CZ.MB93.S93.L001.R1	CZ.MB4.S4.L001.R1	CZ.MB34.S34.L001.R1	CZ.MB116.S116.L001.R1	CZ.MB124.S124.L001.R1	CZ.MB26.S26.L001.R1	CZ.MB123.S123.L001.R1	CZ.MB136.S136.L001.R1	CZ.MB39.S39.L001.R1	CZ.MB55.S55.L001.R1	CZ.MB45.S45.L001.R1	CZ.MB89.S89.L001.R1	CZ.MB135.S135.L001.R1	CZ.MB72.S72.L001.R1	CZ.MB80.S80.L001.R1	CZ.MB127.S127.L001.R1	CZ.MB68.S68.L001.R1	CZ.MB84.S84.L001.R1	CZ.MB70.S70.L001.R1	CZ.MB90.S90.L001.R1	CZ.MB103.S103.L001.R1	CZ.MB105.S105.L001.R1	CZ.MB108.S108.L001.R1	CZ.MB94.S94.L001.R1	CZ.MB106.S106.L001.R1	CZ.MB112.S112.L001.R1	CZ.MB73.S73.L001.R1	CZ.MB51.S51.L001.R1	CZ.MB98.S98.L001.R1	CZ.MB77.S77.L001.R1	CZ.MB53.S53.L001.R1	CZ.MB91.S91.L001.R1	CZ.MB24.S24.L001.R1	CZ.MB56.S56.L001.R1	CZ.MB87.S87.L001.R1	CZ.MB20.S20.L001.R1	CZ.MB61.S61.L001.R1	CZ.MB113.S113.L001.R1	CZ.MB104.S104.L001.R1	CZ.MB110.S110.L001.R1	CZ.MB109.S109.L001.R1	CZ.MB5.S5.L001.R1	CZ.MB85.S85.L001.R1	CZ.MB1.S1.L001.R1	CZ.MB97.S97.L001.R1	CZ.MB44.S44.L001.R1	CZ.MB100.S100.L001.R1	CZ.MB119.S119.L001.R1	CZ.MB82.S82.L001.R1	CZ.MB17.S17.L001.R1	CZ.MB122.S122.L001.R1	CZ.MB28.S28.L001.R1	CZ.MB88.S88.L001.R1	CZ.MB19.S19.L001.R1	CZ.MB81.S81.L001.R1	CZ.MB83.S83.L001.R1	CZ.MB25.S25.L001.R1	CZ.MB133.S133.L001.R1	CZ.MB121.S121.L001.R1	CZ.MB99.S99.L001.R1	CZ.MB42.S42.L001.R1	CZ.MB69.S69.L001.R1	CZ.MB86.S86.L001.R1	CZ.MB31.S31.L001.R1	CZ.MB30.S30.L001.R1	CZ.MB47.S47.L001.R1	CZ.MB7.S7.L001.R1	CZ.MB134.S134.L001.R1	CZ.MB8.S8.L001.R1	CZ.MB27.S27.L001.R1	CZ.MB32.S32.L001.R1	CZ.MB2.S2.L001.R1	CZ.MB67.S67.L001.R1	CZ.MB52.S52.L001.R1	CZ.MB9.S9.L001.R1	CZ.MB102.S102.L001.R1	CZ.MB60.S60.L001.R1	CZ.MB16.S16.L001.R1	CZ.MB63.S63.L001.R1	CZ.MB92.S92.L001.R1	CZ.MB50.S50.L001.R1	CZ.MB79.S79.L001.R1	CZ.MB48.S48.L001.R1	CZ.MB21.S21.L001.R1	CZ.MB62.S62.L001.R1	CZ.MB36.S36.L001.R1	CZ.MB111.S111.L001.R1	CZ.MB58.S58.L001.R1	CZ.MB114.S114.L001.R1	CZ.MB3.S3.L001.R1	CZ.MB118.S118.L001.R1	CZ.MB126.S126.L001.R1	CZ.MB65.S65.L001.R1	CZ.MB117.S117.L001.R1	CZ.MB38.S38.L001.R1	CZ.MB78.S78.L001.R1	CZ.MB12.S12.L001.R1	CZ.MB37.S37.L001.R1	CZ.MB10.S10.L001.R1	CZ.MB33.S33.L001.R1	CZ.MB13.S13.L001.R1	CZ.MB95.S95.L001.R1	CZ.MB11.S11.L001.R1	CZ.MB40.S40.L001.R1	CZ.MB59.S59.L001.R1	CZ.MB66.S66.L001.R1	CZ.MB35.S35.L001.R1	CZ.MB14.S14.L001.R1	CZ.MB18.S18.L001.R1	CZ.MB130.S130.L001.R1	CZ.MB129.S129.L001.R1	CZ.MB76.S76.L001.R1	CZ.MB125.S125.L001.R1	CZ.MB101.S101.L001.R1	CZ.MB23.S23.L001.R1	CZ.MB75.S75.L001.R1	CZ.MB49.S49.L001.R1	CZ.MB131.S131.L001.R1	CZ.MB46.S46.L001.R1
NR_024813.1 Lactobacillus kitasatonis strain JCM 1039 16S ribosomal RNA gene, partial sequence	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1
NR_024785.1 Rothia aeria strain A1-17B 16S ribosomal RNA gene, partial sequence	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0
NR_024829.1 [Clostridium] straminisolvens strain CSK1 16S ribosomal RNA gene, partial sequence	0	19	0	6	85	0	1	0	0	1	0	10	8	4	8	6	5	4	0	1	12	0	0	25	10	0	2	0	0	16	0	2	41	2	1	2	1	15	0	1	5	0	25	0	1	9	15	0	24	28	0	39	30	26	4	13	3	37	15	0	0	0	0	49	0	0	36	11	2	10	25	0	10	0	0	4	0	26	14	177	0	8	3	4	10	20	17	0	46	8	7	10	0	94	2	5	112	0	0	65	3	3	3	16	27	0	0	1	1	15	0	13	31	0	5	1	0	2	0	5	0	7	0	4	0	0	0	0	18	0	0	13	68	0
NR_024815.1 Prevotella shahii strain EHS11 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0
NR_024816.1 Prevotella salivae strain EPSA11 16S ribosomal RNA gene, partial sequence	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024835.1 Lactobacillus manihotivorans strain OND 32 16S ribosomal RNA gene, complete sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024842.1 Streptococcus parasanguinis strain ATCC 15912 16S ribosomal RNA gene, partial sequence	0	0	0	2	1	0	1	2	0	24	0	2	0	1	0	2	0	1	0	0	0	1	0	1	5	0	0	1	0	2	1	0	1	3	2	0	0	1	1	1	0	0	0	3	1	0	1	2	5	2	0	0	1	0	1	0	0	1	1	3	0	1	1	0	0	0	0	1	0	0	0	0	1	3	2	9	6	2	2	0	0	2	0	1	2	3	0	1	0	1	1	2	2	1	0	0	1	0	0	0	1	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	6	2	0	0	0	0	1	1	0	0	0
NR_024853.1 Azonexus fungiphilus strain BS5-8 16S ribosomal RNA gene, partial sequence	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	6	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024919.1 Clostridium frigidicarnis strain SPL77A 16S ribosomal RNA gene, partial sequence	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	2	0	1	0	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024905.1 Enterococcus cecorum strain A60 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024899.1 Mannheimia granulomatis strain ATCC 49244 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024884.1 Dechloromonas agitata strain CKB 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_025390.1 Parasporobacterium paucivorans strain SYR1 16S ribosomal RNA gene, partial sequence	59	90	2	22	90	1	395	58	3	57	0	108	131	16	26	644	61	2	56	0	99	1	0	53	74	1	19	5	0	263	3	802	181	124	24	41	28	13	50	27	85	0	23	1	0	70	419	0	98	7	1	92	53	47	1	27	0	449	65	173	1	1	324	36	432	132	176	12	133	1	64	1	10	40	0	13	5	5	40	673	0	33	10	3	214	13	6	576	64	46	46	65	570	111	137	20	0	0	3	112	22	89	100	24	184	642	1	212	394	95	2	79	5	35	31	12	734	21	76	32	1385	17	37	54	0	0	66	0	1	0	0	0	0	0
NR_025025.1 Papillibacter cinnamivorans strain CIN1 16S ribosomal RNA gene, partial sequence	17	19	4	18	66	0	9	29	1	50	0	12	15	64	50	82	54	15	4	0	19	3	0	51	57	0	15	0	0	79	1	25	37	99	19	38	36	63	8	20	53	0	49	0	1	46	31	0	50	39	3	59	54	44	8	79	4	81	25	29	0	0	13	37	20	19	11	37	26	15	41	4	3	64	0	40	20	7	64	31	0	30	5	6	45	32	29	11	40	35	40	29	14	73	9	12	72	0	0	76	10	20	34	17	26	6	0	35	13	27	2	22	41	3	28	8	7	15	14	10	4	26	7	23	2	0	3	0	17	0	0	1	12	0
NR_025019.1 Clostridium peptidivorans strain TMC4 16S ribosomal RNA gene, partial sequence	0	0	1	3	1	2	0	0	0	8	0	3	8	1	3	0	6	0	1	0	0	0	0	0	3	0	0	4	3	2	0	2	3	0	0	7	4	0	0	4	1	0	0	0	0	5	0	0	2	0	0	1	1	0	0	2	0	2	1	4	0	0	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	1	6	0	0	0	0	4	0	2	2	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0
NR_024993.1 [Clostridium] fimetarium strain Z-2189 16S ribosomal RNA gene, partial sequence	40	7	3	34	5	2	32	155	10	32	1	1	11	3	0	35	0	1	46	0	8	2	0	2	5	0	3	2	0	16	0	187	50	141	23	4	0	5	37	94	27	2	2	0	1	0	29	0	3	5	0	4	0	1	4	0	0	40	8	134	0	0	22	5	22	16	0	2	26	1	1	0	0	16	1	88	13	6	7	48	0	161	20	4	12	7	0	23	0	17	0	4	15	0	9	0	0	0	0	2	0	0	17	3	9	3	0	9	4	1	0	5	0	31	6	1	38	9	1	0	21	1	17	32	0	0	1	1	0	1	0	0	1	0
NR_024945.1 Clostridium gasigenes strain DSM 12272 16S ribosomal RNA gene, partial sequence	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024994.1 Lactobacillus mucosae strain S32 16S ribosomal RNA gene, complete sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NR_025206.1 Hespellia porcina strain PC80 16S ribosomal RNA gene, partial sequence	22	9	51	48	50	2	25	83	5	117	11	14	62	12	28	75	21	47	5	23	29	40	10	53	77	37	46	26	0	138	18	41	95	192	24	83	99	130	6	53	73	30	206	10	45	59	47	6	41	6	20	108	41	216	113	14	4	40	71	239	2	6	7	163	6	20	48	78	155	59	29	2	12	128	12	149	48	33	51	44	27	25	41	0	215	34	1428	6	241	120	46	39	6	82	24	33	29	9	6	55	4	24	84	27	78	0	0	10	5	32	33	30	26	4	12	7	6	12	2	52	5	29	7	180	7	6	16	11	0	0	4	2	8	5
